id;Y;X;cluster
1;3396;2214;3
2;4107;1947;3
3;13948;1994;3
4;21254;3305;3
5;15832;1992;3
6;9678;2198;3
7;16216;2952;3
8;99055;1961;3
9;5187;3732;3
10;6526;3717;3
11;9235;3682;3
12;15336;4107;3
13;6166;4116;3
14;35738;3935;3
15;430;4171;3
16;11417;2209;3
17;3306;4018;3
18;4155;3304;3
19;3075;3122;3
20;14645;3668;3
21;2822;667;3
22;771;2742;3
23;48178;2328;3
24;6038;3378;3
25;22748;3994;3
26;17605;2674;3
27;4713;4186;3
28;11588;3531;3
29;3867;2660;3
30;4701;3709;3
31;89977;2602;3
32;143262;2522;3
33;27033;3936;3
34;52146;2119;3
35;4126;2108;3
36;46328;4015;3
37;1562;2205;3
38;12179;3917;3
39;2599;677;3
40;4080;4285;3
41;2780;3260;1
42;33839;2553;3
43;13377;4184;3
44;2267;3985;3
45;9868;3985;3
46;11227;4045;3
47;1593;4150;3
48;400804;2133;3
49;2867;4222;3
50;22824;2738;3
51;5886;2940;3
52;21500;4107;3
53;1121;4053;3
54;1586;4059;3
55;18059;4079;3
56;3996;3584;3
57;2690;4213;3
58;10512;2734;3
59;37035;3921;3
60;2254;4201;3
61;1933;3835;3
62;31655;2803;3
63;8222;4072;3
64;8718;2604;3
65;5538;1962;3
66;1772;4204;3
67;61718;3202;3
68;5199;4179;3
69;2018;3894;3
70;5220;4059;3
71;1747;661;3
72;37325;2129;3
73;3883;4197;3
74;30324;2819;3
75;7986;3521;3
76;2829;678;5
77;10493;3576;3
78;3058;2975;3
79;18478;832;3
80;6471;4012;3
81;7479;3307;3
82;2966;3340;3
83;8699;932;3
84;2234;4180;3
85;45889;2371;3
86;9025;2488;3
87;6050;4095;3
88;3382;4248;3
89;9627;2266;3
90;19029;949;
91;3612;2995;3
92;12574;3827;3
93;1953;3715;3
94;4875;2252;3
95;1020;4216;1
96;3991;3775;3
97;2711;668;3
98;3388;2212;3
99;4352;2677;3
100;1936;4150;3
101;7475;3900;3
102;11512;3814;3
103;2246;3904;3
104;9200;3646;3
105;3485;2928;3
106;6534;3330;3
107;18830;2323;3
108;156549;1995;4
109;3528;4061;3
110;7630;3582;3
111;26258;2650;3
112;6709;3761;3
113;77914;2030;3
114;80679;1862;3
115;2648;1879;3
116;16880;3669;3
117;11914;3530;3
118;5317;3949;3
119;2985;3524;3
120;2039;2391;3
121;21742;2139;3
122;5228;2392;3
123;8314;4193;3
124;1690;3425;3
125;17448;2293;3
126;1376;2365;3
127;5757;4101;3
128;5041;2338;5
129;2287;4186;3
130;23243;3307;3
131;22756;3303;3
132;4586;650;3
133;99718;2177;3
134;4894;4177;3
135;974;4206;3
136;5581;3459;3
137;54269;3226;3
138;2904;3994;3
139;5766;4039;3
140;939;3771;3
141;2203;3037;3
142;4934;3572;3
143;4280;4032;3
144;1289;3981;3
145;149071;2339;6
146;31452;1980;3
147;66058;3205;3
148;4304;3810;3
149;4438;3506;3
150;5576;4059;3
151;5940;678;5
152;9399;3870;3
153;278;3698;3
154;6084;650;5
155;9136;3765;3
156;3461;4214;3
157;3172;663;5
158;3098;3920;3
159;59770;3738;3
160;1777;4185;3
161;6530;4109;3
162;5463;2212;3
163;3375;2163;3
164;1329;3994;3
165;6642;664;3
166;877392;1104;4
167;11045;3809;3
168;96131;2632;4
169;9562;4181;1
170;6011;2275;3
171;3099;651;3
172;4472;3427;3
173;3190;2135;3
174;4082;3662;3
175;4754;2806;3
176;6659;2171;3
177;1053;3945;3
178;2665;3988;3
179;23000;3011;
180;16757;3582;3
181;11637;4179;3
182;8287;3001;3
183;2428;2035;3
184;16867;3929;3
185;4706;4205;3
186;5497;3963;3
187;6533;3835;3
188;16521;2681;3
189;3248;3570;3
190;34601;3061;3
191;2268;3576;3
192;18722;3984;3
193;1135;4047;3
194;4954;3807;3
195;30459;2273;3
196;972;2498;3
197;49364;1936;3
198;1844;1106;3
199;14734;4191;3
200;6458;3896;3
201;8191;3985;3
202;2862;2639;3
203;2376;2323;3
204;13786;3698;3
205;3812;3667;3
206;1063;2681;3
207;3232;3743;3
208;21852;2683;3
209;26230;538;3
210;23750;1958;3
211;12891;3886;3
212;437;3427;3
213;17640;3835;5
214;3840;668;3
215;14246;3898;3
216;26250;3401;3
217;8368;3837;3
218;38387;3738;3
219;36706;2812;
220;5327;3380;3
221;33985;3066;3
222;16429;3697;3
223;2299;2615;3
224;5588;2537;3
225;36741;3480;3
226;4407;3899;3
227;22348;2808;3
228;19192;2169;3
229;13323;2931;3
230;10292;2092;3
231;16782;4100;3
232;2380;4110;3
233;2424;4062;3
234;21572;3536;3
235;4647;4157;3
236;724;4156;3
237;5441;2492;3
238;2761;4171;3
239;17656;3807;3
240;2302;4198;3
241;128213;2051;3
242;1297;4146;1
243;9907;4094;3
244;20652;3429;3
245;20801;3071;3
246;1368;3044;3
247;30027;3816;3
248;6612;3579;3
249;1106;4004;3
250;3331;3258;3
251;15110;3676;3
252;4423;3591;3
253;13674;2170;3
254;32011;1981;3
255;4728;3662;3
256;597;2225;3
257;3353;3539;3
258;28704;2103;3
259;6997;2212;3
260;3001;4125;3
261;18061;3876;3
262;2325;3989;1
263;7533;4095;3
264;861;3933;3
265;1730;4092;3
266;5150;3477;3
267;1962;3994;3
268;8620;4088;3
269;34279;2163;3
270;2688;3775;3
271;6706;4207;3
272;5770;3807;3
273;3126;2170;3
274;10995;3322;3
275;9875;3404;3
276;7923;3458;3
277;17185;3780;3
278;8813;4187;3
279;23049;3113;3
280;5547;3589;3
281;1161;4165;3
282;6783;3340;3
283;78327;2463;3
284;5046;2287;3
285;10785;3745;3
286;4344;2920;3
287;1661;4260;3
288;4437;2566;2
289;4223;2191;3
290;4000;4178;3
291;7494;2595;3
292;11788;3666;3
293;72728;2812;3
294;33064;936;3
295;9816;3836;3
296;27688;3218;3
297;29053;4073;3
298;9209;4046;3
299;7448;1945;3
300;15932;3299;3
301;5991;2804;3
302;4533;4171;3
303;92894;2310;3
304;33916;1988;3
305;24189;2812;3
306;20051;2770;3
307;9250;3856;3
308;14534;4125;3
309;72534;3044;3
310;13146;4094;3
311;8146;3189;3
312;1000;2211;3
313;16403;2203;3
314;47485;1945;3
315;9007;3710;3
316;15185;1563;5
317;47515;2668;
318;12473;3631;3
319;5857;2651;3
320;15557;2844;3
321;5491;3838;1
322;12145;4193;3
323;7454;3947;3
324;4204;4088;3
325;28104;3071;3
326;6645;4186;3
327;10827;3796;3
328;16341;4094;3
329;32363;2297;3
330;9521;1806;3
331;3890;3841;3
332;2647;4167;3
333;9779;3698;3
334;6676;4177;3
335;17121;3214;3
336;16324;3978;3
337;1704;3876;3
338;85870;2525;3
339;1911;2548;3
340;9828;4099;3
341;8521;4202;3
342;1738;4077;3
343;33762;3212;3
344;2783;3059;3
345;10444;4128;3
346;3119;4200;1
347;5320;3047;3
348;29940;2002;
349;4548;2815;3
350;2580;3394;3
351;3215;4291;3
352;15064;4101;3
353;2008;3362;3
354;15953;3528;4
355;28067;2193;4
356;20312;2107;3
357;11713;4085;3
358;5373;2967;3
359;909;4179;3
360;6062;4190;3
361;4458;3779;3
362;14704;3385;3
363;10690;4075;3
364;7398;3913;3
365;97460;328;4
366;5193;4204;3
367;39370;2031;3
368;1841;4018;3
369;6635;3663;3
370;5429;3559;3
371;6464;3300;3
372;14486;3673;3
373;35946;2267;3
374;13617;4115;3
375;1556;661;3
376;13606;2172;3
377;28228;3882;3
378;28591;3128;3
379;11898;2013;3
380;97075;707;3
381;35026;2253;3
382;75008;2556;3
383;2297;3036;3
384;62103;3696;3
385;6131;3561;3
386;1812;3778;3
387;21054;2179;3
388;19014;3539;3
389;8560;2243;3
390;8860;1858;3
391;3630;3584;3
392;18811;4041;3
393;12889;3803;3
394;6121;3927;3
395;13314;3632;3
396;4663;4319;3
397;5344;4321;3
398;26272;1772;3
399;6083;3183;1
400;4219;4065;3
401;6823;4276;3
402;2199;2259;3
403;54265;2289;3
404;1558;2279;3
405;17698;2131;3
406;4284;1979;3
407;4596;2934;3
408;12898;2401;3
409;5209;2204;3
410;12598;4053;3
411;5719;4212;3
412;99399;4038;3
413;2451;2573;3
414;3809;1916;3
415;5532;3848;3
416;4088;3596;3
417;3208;2809;3
418;4970;2202;3
419;3850;4032;3
420;34744;3882;1
421;31178;3936;3
422;35229;3828;3
423;1795;2702;3
424;17389;2213;4
425;2794;4054;3
426;5098;2410;3
427;7140;3845;1
428;18749;2719;1
429;3538;3737;3
430;5753;3887;3
431;71369;2485;3
432;28184;3880;1
433;2041;3060;3
434;109175;3709;3
435;3637;4208;3
436;13431;3810;3
437;2059;4289;3
438;23894;1570;5
439;6839;3877;3
440;2100;3983;3
441;7741;4055;3
442;4068;4059;3
443;19034;4285;3
444;10002;4003;3
445;71589;1804;3
446;5937;3714;3
447;30885;3019;3
448;26991;3596;3
449;5683;1764;3
450;5600;3452;3
451;4292;4208;3
452;1870;3989;3
453;340;3036;3
454;6931;4195;3
455;15402;947;4
456;15270;2190;4
457;11109;3660;3
458;9903;2469;3
459;1758;4206;3
460;25318;3669;3
461;10608;2495;3
462;4354;2205;3
463;77055;2969;3
464;2494;2062;3
465;64910;2813;1
466;10534;3708;1
467;37128;4283;3
468;5342;4296;3
469;24323;3926;3
470;3667;3837;3
471;31402;1773;4
472;11725;4205;3
473;4319;3891;3
474;1626;1952;3
475;8053;4160;3
476;7127;3967;3
477;9237;3821;3
478;3052;2272;1
479;37913;3224;1
480;3463;2197;3
481;6258;3326;3
482;4171;4056;3
483;1312;4074;3
484;554;3424;3
485;19072;3711;3
486;8262;3806;3
487;19965;2765;3
488;3358;2192;3
489;7219;4290;3
490;5152;2196;3
491;15637;4094;3
492;3696;4211;3
493;6524;4139;3
494;7010;3389;3
495;10657;3080;3
496;12387;2115;3
497;2728;2600;3
498;580;2525;3
499;45115;1287;4
500;16418;3773;1
501;5271;3675;3
502;1465;4060;3
503;3513;1955;3
504;17552;3772;3
505;5930;2050;3
506;25946;4137;3
507;4247;4010;3
508;2044;3943;3
509;4169;3157;3
510;10081;2171;3
511;14233;2812;3
512;12564;4138;3
513;1457;4176;3
514;24195;2133;4
515;4699;4055;3
516;2941;2178;3
517;6431;3977;3
518;2828;4177;1
519;9061;3124;3
520;898;4213;3
521;4757;4018;1
522;23567;3553;3
523;31249;2736;1
524;5367;2207;3
525;6049;3911;3
526;21600;3219;3
527;103330;1169;3
528;6594;4117;3
529;11792;3859;3
530;9949;3280;3
531;2475;4110;5
532;2123;668;3
533;6137;4086;3
534;5188;3893;3
535;2612;2933;3
536;5816;3964;3
537;4254;3994;3
538;1574;4046;3
539;13420;4053;3
540;99684;1848;5
541;5882;661;5
542;10715;4144;3
543;175485;2417;5
544;13381;3568;3
545;25275;4286;3
546;3716;3982;3
547;387692;2258;3
548;9522;1904;3
549;2584;4184;3
550;52504;2371;3
551;1723;2170;3
552;5778;3709;3
553;4943;1834;3
554;2896;3379;5
555;7722;1958;5
556;38189;2658;1
557;18815;2958;3
558;1192;4216;3
559;15244;875;3
560;9574;3586;3
561;4568;3767;3
562;5727;3947;3
563;2877;3802;3
564;3481;4008;3
565;6613;4152;3
566;488;4061;3
567;64708;3292;3
568;38692;3858;3
569;783;2595;3
570;16566;4051;3
571;4255;3809;3
572;13917;3855;3
